,STEERING,ACCELERATION,BRAKE,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
0,-0.6109625234,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
1,0.0691934952,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
2,0.0705267032,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
3,0.0718599112,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
4,0.0731931192,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
5,0.0745263272,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
6,0.0758595352,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
7,0.0771927432,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
8,0.0785259512,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
9,0.0798591592,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
10,0.0811923672,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
11,0.0825255752,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
12,0.0838587832,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
13,0.0851919912,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
14,0.0865251992,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
15,0.0878584072,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
16,0.0891916152,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
17,0.0905248232,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
18,0.0918580312,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
19,0.0931912392,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
20,0.0945244472,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
21,0.0958576552,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
22,0.0971908632,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
23,0.0985240712,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
24,0.0998572792,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
25,0.1011904872,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
26,0.1025236952,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
27,0.1038569032,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
28,0.1051901112,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
29,0.1065233192,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
30,0.1078565272,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
31,0.1091897352,1,0,-0.0119495833,-0.333302,0.1705534928,6.66654,6.90722,7.71111,9.45606,13.4022,19.6524,26.0469,39.0503,79.1842,200,36.9892,18.8782,12.7382,9.66745,6.63281,4.7003,3.8426,3.44835,3.3335
